time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,hand,pose,orientation,testPerson
0,1,16,13,0,6,6,-3,-15,1,1,100,BueBaby!
5,1,16,1,-1,0,3,5,6
10,7,2,4,1,1,-4,-2,-11
15,5,-13,6,-2,-8,-5,3,15
20,-4,-8,9,0,-2,-12,-6,-3
25,-7,-27,-17,-6,-17,11,5,-7
30,4,15,-6,5,35,6,0,-8
35,-3,18,4,3,-13,-2,1,4
40,3,25,26,-7,-6,0,-1,2
45,-8,-33,-15,-3,-20,-2,-3,2
50,-12,-18,-2,4,20,-2,3,3
55,1,-24,9,-5,3,-4,1,0
60,16,16,-9,2,-33,-19,-5,-2
65,-14,-16,7,0,61,14,5,2
70,-1,31,-6,-6,-31,0,-1,-12
75,6,-19,2,3,6,-7,-4,-2
80,-7,-8,-12,0,22,6,5,9
85,3,1,1,5,-61,-13,-5,-6
90,-5,-30,-4,-11,40,-3,-1,7
95,-19,30,-2,1,1,2,-2,-6
100,6,-5,-10,-5,-18,0,-1,0
105,29,-8,-17,-2,25,10,6,15
110,-23,3,26,9,-11,-5,0,-3
115,19,4,-19,-4,-6,7,-3,0
120,-2,15,4,2,12,-1,3,14
125,-25,-41,-17,-9,-3,7,0,-10
130,9,-8,1,-4,-3,0,-3,-5
135,0,-25,3,3,-35,-24,-7,3
140,-4,19,-13,0,14,34,12,-1
145,26,35,20,-1,14,-7,-2,5
150,-15,-48,-5,-1,-23,-3,-3,1
155,-23,17,-15,-4,-11,-18,-5,4
160,34,-11,14,-1,24,12,-1,-14
165,-6,-19,-8,3,-18,-2,-2,0
170,9,15,-10,-2,17,4,1,0
175,-5,-4,9,4,-18,-5,-4,1
180,-23,18,7,-11,-17,-4,-4,-14
185,6,-17,-10,0,17,6,1,2
190,-5,13,9,-1,7,-5,0,-2
195,3,6,14,1,13,7,1,1
200,-48,-16,-13,0,-47,-18,-6,6
205,59,42,19,3,47,4,4,-3
210,-7,14,16,4,-13,-8,-4,-2
215,9,19,-10,-4,7,11,1,-6
220,14,-31,15,3,3,-13,-4,-2
225,-38,-4,-20,4,-4,-9,-3,7
230,9,14,-9,-4,-8,7,1,1
235,12,-7,4,1,10,10,7,-4
240,-5,-14,12,11,-19,-2,-1,-4
245,-13,-4,-15,-7,-2,-1,1,6
250,11,19,13,-2,32,-16,-5,1
255,-7,-13,-8,-11,1,36,9,-6
260,24,15,-10,4,-15,-24,-9,2
265,-19,-9,-1,-6,3,16,2,-5
270,15,5,10,1,-18,3,0,5
275,-19,29,-23,-2,0,-15,-5,-1
280,12,-56,-1,-6,10,0,3,15
285,-17,25,-21,-7,-27,-8,-3,-21
290,-4,8,13,5,-3,-10,-5,-4
295,-2,-18,49,-6,33,3,-4,-5
300,22,30,-16,3,1,5,-1,-8
305,5,-1,14,6,-7,-14,-4,10
310,-3,4,-11,-14,5,5,2,1
315,-6,-31,-7,1,-18,4,3,11
320,-23,-28,-38,-7,-26,-11,-2,-8
325,18,9,24,4,39,2,0,7
330,-4,-25,-7,6,-7,1,1,4
335,4,11,3,-3,0,-4,-6,-11
340,-3,2,-13,-4,-21,-11,0,12
345,-9,16,-7,2,11,0,0,12
350,11,20,-17,0,10,-3,-6,-29
355,-7,13,12,4,-19,-6,0,6
360,-7,1,3,-4,-10,5,-3,-7
365,4,-16,29,3,29,-3,2,9
370,-13,-7,-17,-1,-43,-5,-2,1
375,-7,-19,-19,-9,22,1,0,-3
380,7,28,-1,-6,-2,-4,-2,0
385,-2,22,13,7,-11,1,-1,-2
390,-29,-56,4,-3,-29,5,4,3
395,38,35,17,5,40,-3,-4,-11
400,-1,6,-7,-7,3,1,2,16
405,-6,-53,-9,-4,-17,-9,-5,-16
410,5,31,3,-3,-5,3,3,12
415,-5,-11,13,8,-20,-8,0,4
420,-5,21,-18,-3,55,0,-2,0
425,9,-23,-29,1,-22,4,-1,-7
430,-6,-5,1,-6,10,-8,-2,4
435,-14,9,-19,8,-7,1,5,15
440,-8,-30,25,1,16,3,-1,-17
445,40,43,3,6,13,7,2,-2
450,-11,-7,-2,3,-15,1,-3,-10
455,7,-2,-24,-3,37,-5,-2,6
460,-7,24,18,7,-15,3,3,4
465,-32,0,-6,-6,-37,3,1,4
470,30,-28,9,-7,26,1,3,2
475,14,0,3,-2,-25,-2,-1,-3
480,-13,-4,-23,0,17,-10,-5,4
485,-5,-1,9,-8,-18,-6,-4,-12
490,-11,69,3,4,11,3,0,-1
495,7,-50,-19,-7,-11,-2,-1,-1
500,-20,4,0,6,27,5,6,6
505,18,19,7,-2,-40,-4,-7,-7
510,-14,-25,1,1,24,6,-3,-12
515,-2,24,2,4,-3,-3,0,-1
520,-1,-28,0,-1,13,-10,-5,-7
525,-1,3,4,-11,-15,9,5,16
530,1,17,-12,6,0,3,5,1
535,-12,-31,-9,0,-9,8,-4,-11
540,17,-8,11,1,-17,3,1,0
545,-15,25,9,2,21,-12,-5,9
550,33,24,8,7,-7,9,5,1
555,-16,25,18,-20,-6,0,-4,-5
560,-10,-6,-7,2,-30,-2,0,-9
565,-14,4,-12,0,7,-10,3,12
570,-3,1,0,1,4,9,-2,-1
575,17,27,7,3,24,2,3,2
580,29,25,12,-1,-10,5,-2,-7
585,-2,-13,9,-8,-8,-4,1,10
590,-11,-14,-12,6,1,-9,-1,3
595,-11,15,-15,-6,-32,2,-2,-2
600,8,-3,-13,2,49,3,-5,-9
605,10,-40,21,0,-34,-3,0,5
610,-6,-37,-12,1,25,-9,-5,-19
615,-50,-2,-6,3,0,-3,2,13
620,43,17,28,-9,0,12,3,-3
625,9,10,-7,-2,-1,-2,-5,-11
630,-15,-17,-22,-9,-14,-6,2,15
635,25,-20,-16,0,-5,-12,-4,-9
640,-16,8,-3,-3,13,-10,-7,-2
645,-19,4,-9,3,-19,8,4,-7
650,-6,-17,14,-11,-15,-8,-7,1
655,7,19,4,9,7,3,-1,-6
660,-7,-38,-27,-5,-29,0,2,4
665,6,4,-15,-9,33,3,-4,-6
670,-5,9,11,0,-25,-9,-1,11
675,5,0,-3,5,24,-6,-2,-9
680,-4,2,1,-5,-34,2,1,4
685,-6,-9,8,1,-7,-4,0,-6
690,-1,-4,-7,-5,25,2,1,-8
695,13,-3,0,-3,12,2,0,3
700,0,5,-21,5,-21,-7,-3,5
705,-18,-11,-26,1,12,-6,-2,-3
710,24,36,6,7,9,28,8,-12
715,-16,-13,-3,1,-39,-13,-5,-12
720,-13,-6,-1,-1,32,16,2,-8
725,0,2,14,0,28,-10,-6,-5
730,4,-1,-11,-9,-11,-4,1,12
735,-12,17,9,4,-8,4,1,4
