timestamp;emg1;emg2;emg3;emg4;emg5;emg6;emg7;emg8
1224940197;5;-1;-2;-1;2;0;-3;11
1224952243;-3;-4;3;0;2;-1;-1;6
1224952243;0;2;-11;1;1;4;1;-9
1224961169;3;-1;-2;-2;-1;0;1;3
1224961169;-5;5;-2;2;-1;-1;0;0
1224976204;-3;6;4;4;0;-3;-1;-12
1224976204;1;-6;-1;-7;0;0;0;8
1224977762;-5;-4;2;1;-2;0;0;2
1224977762;-2;-2;-8;-1;-3;-1;-1;-7
1224998729;-5;4;8;2;-2;2;1;14
1224998729;1;1;-11;-2;0;-4;-2;-8
1225000223;4;-2;5;1;0;1;1;6
1225000223;0;3;-1;-1;1;0;2;-2
1225012243;-5;-4;-7;-3;-1;-1;-1;-4
1225012243;-1;-4;7;-2;-4;-3;-3;2
1225021228;-1;-3;1;1;1;1;0;2
1225021228;0;-2;-7;-2;-3;-3;-3;2
1225036190;0;2;-13;-1;0;-1;-3;-10
1225036190;-8;2;20;0;-2;0;3;8
1225037693;1;0;-17;0;1;1;0;1
1225037693;-1;-1;9;2;-1;-1;-5;-5
1225058543;1;-6;-6;-4;-3;0;-2;-8
1225058543;0;-6;-10;-2;-2;-2;-2;0
1225060235;-3;-2;9;3;-1;1;1;4
1225060235;-3;-5;-12;-3;0;2;1;2
1225072248;-3;-3;5;-1;0;1;0;-7
1225072248;3;1;0;1;-3;-5;-6;-2
1225081270;0;1;3;1;3;0;1;3
1225081270;2;-1;-7;-7;-5;-1;-3;-11
1225096081;-1;5;3;3;-2;-1;0;-6
1225096081;-7;0;-12;-1;1;1;3;-11
1225097726;0;0;5;-6;-4;-3;-3;6
1225097726;-2;0;2;1;-2;-2;1;1
1225119047;-2;3;2;2;2;1;-3;-18
1225119047;8;5;12;2;-1;-1;0;0
1225120601;0;1;-12;0;-2;-1;-1;-4
1225120601;-1;-2;3;1;0;-1;-1;2
1225133684;-3;-7;-9;-3;-6;-2;-1;-5
1225133684;-3;0;-9;0;-1;2;-1;3
1225139777;-2;-5;2;1;1;-1;-3;-4
1225139777;0;1;3;1;0;0;-3;-12
1225156227;2;1;-2;-2;-1;-4;0;3
1225156227;4;-4;9;0;-1;-2;-2;0
1225157752;-3;-3;-6;-3;0;1;-2;1
1225157752;0;1;-13;-3;-4;-1;-1;5
1225178535;-5;0;6;1;4;-2;-5;-16
1225178535;-2;3;1;-2;-13;-1;1;2
1225180148;-1;1;-1;-1;-2;-2;-1;0
1225180148;-3;-3;3;1;-5;-2;1;-1
1225192862;-3;0;-6;-1;4;1;-1;1
1225192862;-4;-5;-2;0;-3;-1;-4;-1
1225199655;-1;3;1;3;2;2;1;-6
1225199655;-3;-7;-8;-3;-3;-1;0;3
1225215981;-3;2;3;-1;-5;1;-1;3
1225215981;-1;-3;4;2;2;-2;-2;-2
1225217664;0;0;-15;-5;-5;-4;-1;-1
1225217664;-2;-3;2;0;-1;-1;-3;-5
1225238690;2;-3;0;-2;-4;-2;-1;4
1225238690;0;1;3;0;3;3;3;6
1225240225;-1;-5;-6;-7;-1;-4;-4;-5
1225240225;3;-2;4;1;3;1;1;8
1225252909;2;-5;-4;2;-6;-3;-2;-12
1225252909;2;-2;6;-1;-2;1;1;5
1225259838;-1;6;-2;4;-1;-1;1;-2
1225259838;-2;4;0;-4;0;-4;-1;0
1225276051;0;-4;-7;-2;0;1;1;9
1225276051;-8;-3;5;0;-3;-7;1;-9
1225277668;-2;-4;-5;-2;-3;0;-4;0
1225277668;-1;3;6;1;-2;2;2;-8
1225298525;-2;-3;3;-1;-1;1;3;4
1225298525;6;3;-11;-5;1;1;1;-1
1225300167;-5;0;5;-3;-4;0;-1;-8
1225300167;-2;-3;2;0;1;0;-1;1
1225312856;-1;-1;-4;-3;-2;-3;-2;6
1225312856;1;3;0;1;1;3;2;-2
1225319724;1;-1;-2;3;-2;-1;0;2
1225319724;1;3;3;0;5;0;-3;0
1225336054;-1;1;0;-1;-4;-1;-1;2
1225336054;0;-1;-4;-1;-6;-7;-4;-2
1225337687;-1;-6;-6;-2;1;2;2;0
1225337687;-2;-1;-5;-1;6;3;1;6
1225366028;1;3;6;0;3;-4;2;6
1225366028;0;0;2;-1;-1;1;-1;-1
1225367642;4;0;-6;0;-3;-1;-4;-4
1225367642;-4;-4;0;-3;-4;-3;0;-4
1225372164;0;2;0;-1;-2;0;0;-10
1225372164;6;-3;-9;1;2;0;-4;-2
1225381205;-18;-4;9;3;2;0;-1;11
1225381205;1;-5;-14;-3;-6;-3;-3;-1
1225396099;3;0;-2;0;-3;-4;-4;-10
1225396099;1;1;2;-1;0;2;3;0
1225397676;4;0;0;-2;1;-1;0;-10
1225397676;-2;-6;-2;-2;-1;-3;-2;-1
1225418631;-4;-4;9;0;-3;0;-1;3
1225418631;0;0;-4;0;3;0;-3;8
1225420279;-4;-4;-4;-1;0;-1;0;-3
1225420279;0;2;1;-1;-2;0;-2;-4
1225441192;2;-3;-13;-3;-1;1;0;-2
1225441192;-3;3;-1;1;1;0;0;-3
1225442756;0;-4;8;-4;-2;-2;-2;0
1225442756;3;6;7;2;-2;-3;-1;3
1225463635;-1;0;-7;-1;-1;-4;-4;-3
1225463635;-4;-8;-6;-3;2;1;0;10
1225465226;1;-1;0;1;-4;-4;-2;8
1225465226;0;1;-3;-1;0;-2;-2;-30
1225478102;-3;-2;8;-1;0;4;-1;21
1225478102;-3;2;-7;-2;3;-3;-2;-12
1225484905;2;1;5;-1;-10;1;2;-1
1225484905;4;0;0;-1;1;1;-1;14
1225501154;-7;-8;-6;-2;0;-2;-1;-8
1225501154;0;-1;2;-1;-1;0;0;12
1225502708;4;4;-3;0;9;1;2;3
1225502708;-7;1;3;4;-10;-1;0;-15
1225523610;3;1;-4;-6;0;3;1;3
1225523610;-5;0;10;0;0;-2;0;-4
1225525237;1;1;-9;-2;1;0;-2;-6
1225525237;0;-2;10;1;-1;-1;-4;5
1225538018;0;-5;-2;2;-2;-1;-2;-6
1225538018;-1;-4;-3;-2;-5;-4;-2;-6
1225544924;1;-1;1;-2;2;0;-2;-2
1225544924;0;-1;-4;-1;4;-2;1;3
1225561086;-8;-3;6;-1;-2;-2;-2;0
1225561086;0;3;-1;2;-4;1;-1;-2
1225562710;0;2;1;2;-4;-4;-3;10
1225562710;-2;-3;-9;-2;1;2;1;12
1225591308;0;0;-4;-1;2;-1;0;4
1225591308;0;-2;-6;-2;-4;-2;1;-4
1225592814;-1;1;-1;-2;0;1;-1;-6
1225592814;-2;-2;-1;-3;-4;-1;1;1
1225598082;1;6;-5;0;-1;-1;-3;-9
1225598082;-1;-2;4;0;0;1;-2;-1
1225604681;1;-1;-1;0;0;1;0;7
1225604681;1;0;-3;-1;-2;-3;-3;-6
1225621144;2;2;-1;-1;-1;0;4;-2
1225621144;-4;-2;7;0;2;3;0;-9
1225622703;-5;-4;-2;-1;-3;-5;-1;-7
1225622703;-1;-1;-8;-1;1;1;1;-1
1225643749;-3;0;2;0;0;-4;-2;1
1225643749;5;3;-8;-1;3;1;-2;1
1225645387;-1;-1;8;1;4;3;-1;-4
1225645387;-5;-4;2;0;-9;-2;-1;1
1225658035;1;3;1;2;-1;1;-1;-6
1225658035;5;1;-6;-5;2;-2;-2;5
1225664862;3;-2;-1;-1;-2;1;3;14
1225664862;1;-5;-10;-1;5;-1;-5;-14
1225681204;-3;0;2;0;2;1;-2;0
1225681204;-5;0;3;-2;-3;-2;2;4
1225682807;0;0;-3;-1;-2;1;0;1
1225682807;-4;0;-4;1;-3;-2;-2;1
1225720547;3;3;5;0;-3;-3;-1;1
1225720547;-2;3;-7;2;-1;1;-3;-3
1225722037;-4;-6;1;0;2;1;-1;-4
1225722037;1;1;4;-1;2;1;1;4
1225723013;-9;-6;-8;-3;-5;0;-1;-9
1225723013;-2;-2;7;-3;-8;-4;-1;1
1225726269;0;1;-5;-1;0;-1;2;-4
1225726269;4;0;-1;1;0;2;-4;-5
1225748763;-1;-3;3;0;2;-3;-1;-8
1225748763;-3;-2;0;1;2;-1;0;-4
1225750210;-2;-4;-9;-2;-4;-1;-1;-5
1225750210;0;-2;7;0;2;-1;3;2
1225763785;3;-4;-9;-3;-2;-6;-3;-3
1225763785;-13;-5;10;1;-2;-1;-2;4
1225765287;-5;1;-11;-1;1;-1;-1;-10
1225765287;-1;-1;12;4;1;0;3;4
1225777365;2;-2;-10;-4;-5;2;-1;8
1225777365;3;-1;-2;-1;0;-3;-6;-24
1225786207;6;2;4;-1;4;0;0;10
1225786207;-9;0;-2;0;-3;-1;0;-3
1225800410;-2;-8;1;0;1;-3;0;0
1225800410;-1;-4;-9;-4;-1;-1;0;1
1225808760;-2;-2;-4;-1;-1;1;-1;1
1225808760;4;0;-3;-2;4;0;-1;0
1225823699;0;3;6;0;-11;-1;0;2
1225823699;-2;2;5;-1;5;3;2;6
1225825217;0;0;-6;-1;-4;-5;-4;-3
1225825217;-3;-4;-12;-2;4;0;0;-1
1225837892;-1;-2;3;-1;4;3;2;1
1225837892;2;2;-2;0;-5;-1;0;1
1225846285;-3;-3;6;0;-4;-1;-4;-3
1225846285;6;-1;-2;-1;1;-1;0;-12
1225861072;-8;-1;-7;2;2;0;-3;-1
1225861072;2;-2;7;1;-1;-2;-3;-1
1225862744;-1;-2;2;-1;-2;-5;0;-3
1225862744;-1;-5;-2;-3;-5;-1;-2;4
1225883736;1;3;1;1;1;-1;-1;-1
1225883736;1;-3;-7;1;3;-1;1;3
1225885251;-3;0;2;1;3;2;-3;-8
1225885251;-2;2;1;-3;-11;-3;0;4
1225897478;6;5;5;0;6;0;1;3
1225897478;-3;-4;-11;-4;-3;-3;-1;-1
1225906278;4;1;8;2;1;1;-1;2
1225906278;-2;-1;0;-1;0;1;-3;2
1225928669;-1;1;-4;-2;-1;0;0;1
1225928669;0;0;-5;2;1;2;2;1
1225930298;-2;-1;-1;0;-1;-1;-1;-4
1225930298;-2;-4;-4;-4;2;-1;2;-1
1225943688;-1;0;6;0;0;0;-3;10
1225943688;0;-8;-1;-2;0;-6;1;-3
1225945362;0;1;-6;-1;-4;0;-2;-21
1225945362;-10;0;1;-1;1;0;-1;-13
1225957287;2;1;-3;0;5;1;0;-1
1225957287;-1;0;-3;0;-15;-5;-8;-1
1225966247;-1;-3;0;0;5;-1;2;4
1225966247;1;-3;12;-1;0;-3;-2;5
1225981143;0;-2;-3;-2;1;0;0;-5
1225981143;1;1;2;-2;2;2;-1;-3
1225982761;0;0;-4;-1;-7;-2;1;7
1225982761;3;0;-7;-2;2;0;-4;4
1226003738;-2;-3;4;1;2;1;3;2
1226003738;4;1;-3;-3;-5;-1;-3;7
1226005363;-8;-2;-4;0;-1;-1;0;-1
1226005363;2;-1;-4;3;1;-1;1;1
1226017257;-3;-3;8;-4;-3;-2;-3;-3
1226017257;2;-2;-7;0;2;2;-2;2
1226026250;2;5;6;0;-2;0;-1;1
1226026250;-2;-3;0;-1;-6;0;-3;0
1226041205;-3;-3;-10;-5;1;-2;0;-4
1226041205;-2;2;6;2;2;5;2;-5
1226042775;1;0;-6;-3;0;-4;-4;6
1226042775;1;-1;1;1;3;3;1;-3
1226063709;1;0;-1;1;-5;-1;-2;9
1226063709;-13;-3;-1;-2;1;-4;0;-1
1226065294;-3;-2;1;-1;-2;-1;-7;-7
1226065294;1;0;-7;-2;-3;-6;0;4
1226077340;0;-1;0;0;1;3;1;-4
1226077340;-1;2;5;1;5;6;2;1
1226086231;0;-2;-9;0;3;-6;4;1
1226086231;-2;2;15;1;-7;-2;-5;-2
1226101325;1;2;-4;-2;-2;0;-1;-3
1226101325;1;-1;-2;-1;2;-1;-3;0
1226102874;0;0;5;-3;-2;2;3;-1
1226102874;1;-1;-2;0;7;1;0;2
1226123703;4;-1;0;2;-3;-1;0;1
1226123703;-8;-2;4;-4;-6;0;-1;-13
1226125202;1;-7;-3;0;-1;0;-1;0
1226125202;0;-3;-9;-1;0;-2;0;0
1226137395;-1;0;0;1;-4;1;-2;6
1226137395;3;7;0;0;-3;-6;-1;0
1226146979;0;4;4;2;2;5;1;-3
1226146979;-3;-3;7;-5;-1;-4;0;-5
1226161210;-4;-4;-3;0;-4;-5;-8;-6
1226161210;5;1;-4;1;0;-2;7;0
1226162723;2;2;-1;-1;-3;2;-1;2
1226162723;-1;1;-2;-2;4;2;1;0
1226183716;-1;1;7;1;-8;0;2;-2
1226183716;-3;-6;-9;-4;-3;-2;-3;-9
1226185277;6;-1;-2;-4;2;0;-2;-4
1226185277;-7;-1;-3;0;-2;0;0;15
1226197419;-1;-3;-4;-2;1;-2;0;-2
1226197419;3;-4;2;-1;-1;-2;-1;18
1226206346;-1;0;-5;-1;-3;1;0;-3
1226206346;0;-3;3;0;2;-1;-3;-8
1226220938;-1;0;-11;-5;-2;0;0;5
1226220938;3;4;11;2;0;-1;1;4
1226227449;-5;-6;-2;-1;3;-2;-5;0
1226227449;1;6;1;1;3;3;-1;0
1226244163;-2;-4;-7;0;1;0;2;-8
1226244163;2;-1;-3;0;-6;-3;-2;2
