timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
109000434096,-2,-2,-1,-4,2,-3,-3,-3
109000434096,-2,0,-3,-2,-5,0,-1,2
109000449045,0,0,-1,6,35,2,2,-12
109000449045,0,0,-2,-1,-12,-2,-3,0
109000450727,0,0,-1,-2,-21,-3,-1,0
109000450727,0,-1,-1,0,17,3,0,-1
109000471554,-2,-1,0,-6,-8,0,0,0
109000471554,0,-1,2,4,6,0,0,0
109000473060,-2,-3,-3,-1,17,-1,-2,-1
109000473060,-1,-2,1,9,12,-1,-2,-1
109000485962,1,1,-3,-9,-4,-4,-2,2
109000485962,1,0,1,8,0,0,0,1
109000492646,-1,0,0,0,3,-3,-1,1
109000492646,0,-2,-2,4,18,1,0,-3
109000509151,-1,-1,0,-3,-2,1,-1,2
109000509151,-2,-2,-1,-2,-3,0,1,0
109000510731,-2,-3,-3,-5,-19,-2,-3,0
109000510731,-1,0,-2,0,23,-1,-3,0
109000531608,-3,1,0,-8,-21,-2,-3,0
109000531608,0,1,0,12,9,2,1,0
109000533204,-1,0,0,-2,-13,-1,1,0
109000533204,1,-1,0,-20,-33,-8,-3,-1
109000545281,-1,-1,-3,-2,-1,-1,-1,1
109000545281,-1,-1,0,-1,5,-1,-2,-1
109000554100,0,1,0,5,10,2,0,-1
109000554100,0,1,-1,3,6,3,-1,0
109000568983,-2,-2,0,1,-5,0,-2,-2
109000568983,-1,-2,-2,-3,-2,1,-1,-1
109000570726,-2,-2,1,1,6,0,1,-2
109000570726,-2,0,-1,-3,1,-4,-2,-1
109000591553,-1,-1,1,5,20,8,1,1
109000591553,-1,0,-2,2,-7,-3,0,-1
109000593242,-2,-3,-5,-6,3,-3,-2,0
109000593242,2,1,2,-4,-31,-1,3,1
109000605308,1,-2,-2,0,15,-5,-1,-1
109000605308,-1,0,0,-1,-1,-3,-4,-2
109000614175,0,0,0,1,1,-1,-2,-2
109000614175,-1,-2,-1,3,9,1,-1,-2
109000629465,-1,1,-3,0,-6,-2,-2,2
109000629465,-1,1,-3,-3,8,1,0,-2
109000631034,1,1,0,0,1,-3,-1,0
