time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,hand,pose,orientation,testPerson
0,-2,-1,28,9,22,3,-24,-9,1,0,45,BueBaby!
5,7,-7,-15,-6,2,1,24,44
10,-10,-2,-14,-1,11,6,-46,-52
15,1,-18,-45,3,-19,-11,-7,39
20,3,25,21,-14,11,11,14,-17
25,-17,-11,-31,-64,-12,-20,-71,-56
30,10,5,34,16,-5,-17,71,22
35,-17,-3,-7,-15,10,-4,-52,-24
40,8,-7,-16,22,2,2,22,81
45,-5,2,-5,1,-2,25,26,-4
50,-3,-11,-14,4,1,-3,-1,31
55,7,6,1,-9,-18,2,30,-5
60,-13,1,-5,-11,46,-7,5,-40
65,5,9,23,24,-5,-3,25,30
70,1,-2,-14,-3,12,3,-3,21
75,5,3,20,25,5,7,12,-17
80,-4,2,14,-25,-29,-3,-63,-6
85,-5,-13,-8,27,13,5,32,-35
90,0,7,-9,-5,-14,-2,1,-4
95,11,6,15,17,21,2,-13,80
100,2,-21,-46,-6,-21,11,46,15
105,-2,15,66,4,-7,-2,-42,-74
110,-13,-16,-1,-4,-20,-6,-75,0
115,-12,-2,48,6,-6,-20,-16,-17
120,-6,-20,-48,-12,31,2,-26,-24
125,9,13,14,25,-10,8,63,39
130,6,5,-58,-7,7,-2,-7,45
135,-10,-9,36,-27,27,6,42,-42
140,-8,-2,-9,-15,-36,-26,-47,8
145,-1,-13,-12,16,9,-5,-39,1
150,10,11,6,3,0,11,41,28
155,0,0,-10,2,-2,-8,15,24
160,4,-1,6,6,11,11,2,24
165,-10,-9,-6,13,-15,-16,-11,-29
170,-1,-9,-4,-1,-4,-3,-12,-32
175,-2,3,-7,-8,-12,3,14,-7
180,-5,-10,-23,-2,-16,-18,-27,36
185,7,17,18,36,22,9,-28,-29
190,-4,-6,-13,0,26,0,68,29
195,-5,-5,11,-3,7,3,-8,-15
200,8,-14,-13,2,-13,11,52,55
205,-8,7,-18,-7,-5,-11,-24,-45
