time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,hand,pose,orientation,testPerson
0,-99,-79,-4,-3,-40,2,-4,-22,1,0,35,BueBaby!
5,105,48,-5,21,76,-52,-10,17
10,-100,-81,0,86,30,43,23,2
15,4,35,-8,-48,-66,10,-56,-22
20,16,-26,-12,-46,-9,55,13,11
25,-87,-21,7,64,-33,-77,48,-23
30,24,-7,-5,-22,103,1,5,8
35,94,36,9,30,36,-4,-2,6
40,43,16,-8,-34,-63,-35,-8,-16
45,19,17,9,-37,-6,104,-34,14
50,47,-5,2,25,-17,-1,32,26
55,21,-29,-15,-34,-47,13,-2,29
60,-5,48,11,20,43,-56,6,-14
65,-21,-38,3,-5,2,55,2,17
70,81,1,-5,-32,-54,-116,-45,-27
75,-94,-67,-14,28,73,73,28,-13
80,73,1,-1,0,10,11,-44,-38
85,33,2,0,25,-9,-22,-33,9
90,0,38,9,-48,-41,74,-6,16
95,48,-5,7,47,33,21,24,-23
100,-74,-96,-12,13,32,15,-2,43
105,-23,9,-15,-34,-32,-57,-11,-9
110,80,30,16,33,-27,36,32,18
115,-31,-22,-19,0,61,-34,-29,-1
120,-74,5,7,-24,-22,78,38,-69
125,93,-6,-11,-18,-8,23,-19,34
130,-121,-45,-3,38,79,55,79,3
135,60,-7,11,-17,-47,-61,-61,27
140,-99,-20,-2,15,0,-68,-26,-39
145,54,66,9,-15,-14,59,18,-13
150,-58,23,0,-67,-15,98,-56,-14
155,34,-51,-11,33,27,29,43,-11
160,2,60,-5,-8,-5,38,-20,28
165,-55,-41,8,33,35,39,6,-23
170,-14,12,-4,-4,-46,-25,-4,10
175,-73,35,-2,-46,-5,1,24,32
180,57,50,21,47,-27,-66,-23,23
185,3,-15,-19,-10,4,-41,-16,-23
190,-46,-20,5,11,57,16,-8,6
195,56,21,-3,-12,-18,3,2,-50
200,46,-30,-11,-11,16,80,17,60
205,-54,22,10,1,-52,-52,28,41
210,32,-33,-2,10,9,-103,-14,-30
215,61,46,3,-4,-58,50,1,-7
220,101,26,4,-7,58,17,-1,10
225,-124,-106,-10,30,81,83,11,33
230,105,69,-7,-36,-52,-23,-13,-14
235,-79,-43,-2,6,-43,-33,-29,-11
240,82,42,-1,-9,-25,13,2,8
245,-84,24,13,-11,-26,-27,-22,-31
250,15,0,5,15,7,-50,18,70
255,-34,58,7,4,21,43,1,-21
