time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,hand,pose,orientation,testPerson
0,1,1,0,0,-2,-2,-2,-1,1,2,35,BueBaby!
5,0,0,0,0,-3,-2,-4,-5
10,-1,-3,-3,-1,-3,-2,-2,-4
15,-5,-3,-4,-2,-2,-3,-2,-1
20,-3,-2,-1,-2,-2,0,-1,-1
25,1,-3,-3,-2,-1,0,1,2
30,-2,0,1,0,-3,-2,-1,-1
35,-11,-2,-1,-1,-2,-1,-1,-4
40,-3,-2,-3,-1,-2,-2,-1,0
45,2,-3,-3,-2,-1,-1,-1,-1
50,4,-1,-1,-1,-1,0,-3,-1
55,1,-1,-3,-2,-1,-2,-1,2
60,-3,1,-2,2,-2,-2,-1,-7
65,-3,-3,-1,-1,1,-3,0,-1
70,0,-2,0,1,-1,-1,0,-1
75,1,-4,1,0,-1,-1,-1,-2
80,-4,-2,0,-1,0,-1,-2,0
85,2,0,0,0,-3,-1,-1,-1
90,-1,-1,-1,-1,-1,-2,-2,-2
95,-2,0,-1,-1,-2,0,-3,-1
100,-2,-1,0,-1,0,-1,1,0
105,-2,0,-2,-1,-1,-1,-3,-1
110,-1,0,0,0,0,0,-2,-1
115,-4,-3,-2,-2,0,-2,-2,-4
120,1,-1,-1,0,0,0,1,-1
125,8,0,-2,-2,-2,-2,-1,-2
130,2,-2,-1,-3,-1,-2,1,3
135,-4,1,1,0,0,1,-1,0
140,-1,1,0,0,-2,0,-2,1
145,-6,-4,1,-2,-2,0,0,-2
150,0,1,-2,-2,-1,0,-1,-2
155,2,-2,-1,0,0,-1,1,1
160,-2,-1,0,0,0,-1,0,0
165,-2,1,0,0,-1,-2,1,0
170,1,-3,-1,-2,-2,-2,-1,-5
175,0,-3,-3,-1,1,0,0,1
180,-2,10,7,1,-1,-1,-3,-3
185,-2,-1,-2,-2,-2,-2,-1,0
190,0,0,-1,0,-1,0,0,0
195,0,-5,-3,0,-2,-1,-1,-1
200,1,3,-3,-1,-2,-1,-2,-4
205,-1,-11,-4,0,1,-1,1,2
210,-4,6,-2,-2,-2,-3,-2,-4
215,6,7,1,-1,-2,-1,0,0
220,-2,-9,-1,-3,0,0,0,-1
225,-3,2,1,2,0,1,0,-5
230,-5,-5,-2,-2,-2,0,-1,1
235,-3,-4,-4,-2,-1,1,0,-2
240,0,2,-6,-2,-1,-3,-4,-4
245,2,1,6,1,1,1,1,1
250,-5,-2,0,-1,1,0,2,-1
