time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,hand,pose,orientation,testPerson
0,10,14,3,-7,0,2,3,-3,1,1,21,BueBaby!
5,-4,4,2,0,-7,1,12,-6
10,-17,2,-4,-6,6,-1,-10,-20
15,5,10,1,18,-10,-5,-4,26
20,48,-25,-9,0,14,1,5,-11
25,3,31,-12,-31,2,0,-16,20
30,-7,7,3,26,0,-1,-4,-12
35,-49,-58,-11,-22,-6,-6,7,-16
40,-22,15,-2,-4,5,4,18,13
45,-10,-17,2,31,0,-6,-27,-18
50,-5,-14,-2,-19,-12,-2,3,-3
55,39,41,3,6,-9,2,7,-17
60,-40,-36,-4,39,-6,-7,-14,18
65,10,1,-4,-34,4,3,9,0
70,21,7,-8,-12,-4,2,9,15
75,-17,1,4,17,5,-2,-21,-10
80,-15,-29,0,3,-10,-4,2,-17
85,3,2,1,-15,3,0,-2,4
90,28,-6,2,5,8,4,16,3
95,13,28,-6,-12,2,-1,-7,12
100,-23,26,4,3,-9,-8,-15,9
105,-16,-42,-6,12,5,0,-5,-10
110,-1,3,7,-13,-9,0,24,-23
115,0,-7,-3,1,6,0,-12,13
120,-17,-46,-23,-40,10,-5,-22,24
125,-8,-14,-2,10,5,0,6,-5
130,-34,-2,4,9,-3,1,21,25
135,18,20,1,-25,2,-2,-18,25
140,15,32,7,20,3,1,6,-23
145,-41,-11,-6,2,-3,-3,-6,3
150,4,-5,-6,1,-4,6,29,-6
155,-4,21,20,56,-21,-7,-21,10
160,25,3,-30,-54,29,3,-7,-11
165,19,6,7,-2,3,-1,-11,5
170,-30,-35,-4,-5,-4,-5,5,-18
175,18,6,-3,-1,-6,0,12,4
180,-19,3,14,15,-23,-4,-4,-16
185,-10,8,-9,15,2,-2,-1,-4
190,-4,1,-3,-9,11,4,0,-27
195,-73,-35,0,2,-2,-2,-6,16
200,-2,1,3,12,-20,-4,14,-2
205,33,5,-2,-32,20,0,-19,7
210,10,64,-1,3,-10,-4,-19,-4
215,-1,-81,-14,-18,19,1,12,-27
220,-42,-5,7,-1,-9,2,9,6
225,4,-4,6,-6,-28,-5,1,-3
230,18,9,-3,45,33,5,-2,-61
235,-22,41,4,-6,-13,-6,-9,76
240,11,-39,7,45,21,1,-22,-1
245,2,-13,-11,-38,-4,1,16,-3
250,49,45,6,-6,0,-3,-26,1
255,-5,3,-8,-21,-7,0,10,-21
