time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,hand,pose,orientation,testPerson
0,37,3,7,33,6,7,-3,-59,1,0,40,BueBaby!
5,-85,-10,2,-5,-21,-3,1,11
10,53,12,0,-1,20,0,-11,-23
15,-44,-10,-4,-2,-5,2,20,88
20,30,-3,-29,-36,-1,-3,-21,63
25,-35,3,40,-12,-49,-71,-14,-86
30,-18,-5,10,46,24,9,1,-16
35,68,9,-5,-15,-29,-15,17,62
40,-55,-11,-1,24,89,-25,-3,-10
45,98,15,-2,-6,56,94,20,84
50,-58,-7,-3,10,-11,-6,-12,-110
55,-45,-3,12,33,25,-8,-27,-101
60,52,8,-5,-13,13,-26,30,17
65,39,4,0,29,15,38,-2,-32
70,-1,5,3,-16,-3,-5,34,67
75,-9,-13,-15,-54,-47,-36,-43,-49
80,33,18,14,62,2,9,-3,-12
85,-81,-18,-14,-16,61,6,3,-47
90,61,8,-8,-46,-68,-23,-1,-10
95,-24,1,-1,24,-15,-15,-11,-30
100,-3,0,1,-34,11,-35,20,53
105,-42,-24,-7,-5,-19,-43,-63,-73
110,23,4,3,4,0,-4,14,59
115,25,11,6,17,62,-4,20,9
120,38,-8,-11,7,53,20,-6,66
125,-49,-2,-6,-9,10,-17,0,-2
130,0,1,-4,-30,-13,12,-21,-62
135,18,6,12,27,7,11,17,-26
140,15,-6,-13,-61,-64,-47,-13,-31
145,-19,-9,5,60,-11,-47,-10,48
150,-8,-2,-8,-27,19,33,1,-60
155,27,2,8,48,26,7,-2,69
160,23,-5,5,-35,35,31,29,113
165,5,0,-11,35,2,10,-24,-99
170,-52,-15,1,21,-8,-55,12,63
175,1,7,-5,-20,27,2,-3,59
180,-72,-6,3,55,-44,20,-22,-54
185,47,10,-6,-38,52,57,17,-3
190,15,-7,-5,-3,16,-45,-10,68
195,10,1,8,45,72,23,15,45
200,-7,7,15,0,-10,-13,-28,-100
205,-41,1,-1,22,28,17,10,-13
210,127,18,3,-16,-8,-1,2,74
215,-108,-18,4,-2,-21,27,23,-1
220,27,8,-14,-15,-9,-22,-10,-32
225,3,-2,13,11,-8,12,-15,-86
230,53,1,4,15,-45,-4,7,81
235,19,4,-10,-6,-36,-3,14,99
240,9,-5,-4,20,31,-13,-5,-4
245,-71,-17,-11,-43,-29,-11,-37,-34
250,-58,-15,-15,3,44,11,-5,-20
255,10,1,-4,-41,-7,16,6,-12
260,8,8,9,24,0,31,-1,55
265,-6,0,-18,-25,-36,-10,18,8
270,-5,0,8,-10,-37,-63,1,-55
275,-101,-17,10,14,5,-46,-33,-112
280,23,6,7,-10,-18,-24,10,-9
285,-8,-3,-7,25,-14,15,-2,69
290,54,17,8,-33,10,16,23,-30
295,-55,-29,-36,5,-34,-40,-57,-123
300,35,15,9,18,38,-19,35,86
305,-12,-9,18,-18,60,-9,-19,-12
310,-93,-5,-11,-9,-10,-2,13,-85
315,108,23,4,-1,6,18,24,92
320,-74,-28,-16,30,11,-18,-18,-32
325,44,12,12,20,-30,-18,15,40
330,63,9,8,0,8,53,9,43
335,0,1,-4,-4,-19,4,-28,29
340,-122,-25,-3,-36,16,-32,0,-71
345,117,26,-1,24,-33,-13,26,49
350,-93,-9,21,50,-2,25,-7,72
355,40,-6,-16,-41,76,-31,-28,11
360,127,22,6,-14,-74,48,30,112
365,-67,-15,2,-14,32,-8,-20,-37
370,-16,0,-7,25,-18,5,-16,-66
375,12,4,-3,-40,-38,-10,18,-24
380,-21,-13,-20,-2,-32,-13,-8,4
385,56,7,8,-20,-33,-38,21,-35
390,-85,-11,0,-11,81,10,-20,-35
395,37,7,6,-26,-52,-4,28,-19
400,11,1,-6,-6,-21,-10,-3,-113
405,-58,-12,-4,-19,-50,-30,-26,-18
410,27,5,-11,23,-34,2,27,-20
415,-6,-3,0,18,9,-3,14,9
420,-16,6,29,9,25,30,2,76
425,60,9,-6,-46,-20,-18,-16,-36
430,-36,-7,-7,11,0,-13,8,65
435,-33,-1,0,-14,-3,3,-16,-58
440,47,6,-6,10,7,21,37,63
445,-80,-18,5,-5,-21,8,-39,38
450,127,13,1,-28,-7,63,22,60
455,-110,-12,3,7,-2,25,-4,-106
460,42,-4,2,13,-28,-2,-42,20
